,date,active case
206,"Sep 08, 2020",895600
207,"Sep 09, 2020",916876
208,"Sep 10, 2020",941495
209,"Sep 11, 2020",956462
210,"Sep 12, 2020",971874
211,"Sep 13, 2020",986172
212,"Sep 14, 2020",987801
213,"Sep 15, 2020",994746
214,"Sep 16, 2020",1008498
215,"Sep 17, 2020",1016312
216,"Sep 18, 2020",1012482
217,"Sep 19, 2020",1009543
218,"Sep 20, 2020",1002841
219,"Sep 21, 2020",974185
220,"Sep 22, 2020",966399
221,"Sep 23, 2020",964883
222,"Sep 24, 2020",968493
223,"Sep 25, 2020",959668
224,"Sep 26, 2020",955009
225,"Sep 27, 2020",962037
226,"Sep 28, 2020",945708
227,"Sep 29, 2020",938947
228,"Sep 30, 2020",939115
229,"Oct 01, 2020",941044
230,"Oct 02, 2020",943500
231,"Oct 03, 2020",936369
232,"Oct 04, 2020",933495
233,"Oct 05, 2020",916822
234,"Oct 06, 2020",905774
235,"Oct 07, 2020",900392
236,"Oct 08, 2020",891485
237,"Oct 09, 2020",881433
238,"Oct 10, 2020",865665
239,"Oct 11, 2020",861030
240,"Oct 12, 2020",836199
241,"Oct 13, 2020",825062
242,"Oct 14, 2020",810588
243,"Oct 15, 2020",801971
244,"Oct 16, 2020",793212
245,"Oct 17, 2020",781481
246,"Oct 18, 2020",770903
247,"Oct 19, 2020",746068
248,"Oct 20, 2020",737823
249,"Oct 21, 2020",713755
250,"Oct 22, 2020",693106
251,"Oct 23, 2020",679216
252,"Oct 24, 2020",666694
253,"Oct 25, 2020",653105
254,"Oct 26, 2020",624701
255,"Oct 27, 2020",608654
256,"Oct 28, 2020",600288
257,"Oct 29, 2020",592039
258,"Oct 30, 2020",580580
259,"Oct 31, 2020",568523
260,"Nov 01, 2020",560755
261,"Nov 02, 2020",539314
262,"Nov 03, 2020",531494
263,"Nov 04, 2020",525364
264,"Nov 05, 2020",518160
265,"Nov 06, 2020",513623
266,"Nov 07, 2020",510636
267,"Nov 08, 2020",508422
268,"Nov 09, 2020",503623
269,"Nov 10, 2020",493140
270,"Nov 11, 2020",488158
271,"Nov 12, 2020",482688
272,"Nov 13, 2020",479356
273,"Nov 14, 2020",478284
274,"Nov 15, 2020",464340
275,"Nov 16, 2020",452214
276,"Nov 17, 2020",445418
277,"Nov 18, 2020",441496
278,"Nov 19, 2020",441830
